INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION
4109,The disabled people cannot work. This is not possible.,The fact that some disabled people can successfully work is evidence that what you say is false.,DISABLED,V6_lab
4316,"This dog doesn't have autism, she is just a freak.","You can't judge someone on their disorder. Moreover, she's a person, not a ""dog"".",DISABLED,V6_lab
3515,People who are autistic are a problem: why shouldn't they be isolated?,"I think that it is important for all people to be exposed to and to understand people with different needs and strengths, and the same should be true for autistic people.",DISABLED,V6_kc
4528,Disabled people are a burden to society.,"Everyone, regardless of their physical or mental impairments, is capable of contributing to society.",DISABLED,V6_mix
616,"Downy children should be isolated, they cannot cope with education in normal schools and are detrimental to their peer's education.","Coeducation benefits neurotypical children as much as Down Syndrome children, as they are surrounded by positive examples of care and attention from authority figures in the knowledge that they, too, will be looked after if in need.",DISABLED,V1
3848,Downies are just ill persons that cannot integrate in society because of their disease.,Ill persons refer to people who have health issues that can make it difficult for them to integrate. But of course there are people who integrate successfully.,DISABLED,V6_kc
4520,People with disabilities shouldn't be listened to.,"You might be judging others by their disabilities, but this is bad. There is value in listening to others, and understanding their points of view, regardless of their mental or physical condition.",DISABLED,V6_mix
4907,Downies are dumb,"According to this study [link], the mean IQ of a young adult with Down syndrome is 50, equivalent to the mental ability of an 8- or 9-year-old child, but this can vary widely. So, no, they are not dumb.",DISABLED,V6_mix
3311,All these autistic people are endangering our society.,I'd like to see a reduction in cases of discrimination against autistic people. They are no danger.,DISABLED,V6_sbf
4310,Disabled people should not be allowed to live their life.,"People should be able to live their life as they like, regardless of their physical or mental disabilities.",DISABLED,V6_lab
3742,"Children with Down Syndrome should be isolated, because in any case normal children would make them feel different, ending up in unwanted discrimination.","I think that the proposed solution is the problem in this case: People with Down Syndrome are unlikely to feel discriminated unless they are victims of overt discriminatory acts, such as isolating them.",DISABLED,V6_kc
1502,"Handicapped children are a burden to society: they should be isolated, so that at least they do not hamper normal children education.","Because education is fundamental for the fulfillment of job requirements, education is necessary regardless of physical ability.",DISABLED,V3
4716,Mentally disabled folks are criminals.,"There are a variety of intellectual and creative disabilities, and they are not crimes. How can you say otherwise?",DISABLED,V6_mix
610,"Children with Down Syndrome should be isolated, not only they are a burden to normal children but also cannot cope with education in normal schools.","There are various levels of Down syndrome. Some are suitable for education with other children in ""normal schools"".",DISABLED,V1
3212,mentally ill people should be isolated from society because they are dangerous.,"There are certainly some dangerous people with mental illnesses. But we need to deal with those cases, otherwise, the exclusion would only intensify. And exclusion is never the solution.",DISABLED,V6_sbf
4916,disabled: they should not be allowed to work.,"The disabled can work, and many countries offer them the right to work.",DISABLED,V6_mix
4523,"If you're a person with Down syndrome, you're no good.","The same can be said of many other people, the point is that you can't claim that someone is 'no good' just based on their genetic background.",DISABLED,V6_mix
619,Downies in industry are a problem: they create tensions with other workers because they are disabled and cannot keep the pace. They should have special jobs just for them.,"If you think that taking all of the people with DS out of industry will solve the problems in the workplace, then you are wrong. Tensions won't go away: stressed people will simply target other workers who are overweight; or of a different gender; or in a number of other ways for which they are considered to be not productive enough.",DISABLED,V1
4723,Mentally disabled folks can't speak.,Mental health and disability are quite separate issues and should be treated according to the individual's needs.,DISABLED,V6_mix
3211,mentally ill people should be isolated from society because they are dangerous.,"It is true that mentally ill people are often perceived as 'dangerous' to the general public. But if the stigma is the main cause of the discrimination, then the solution is to end stigma, not to isolate them.",DISABLED,V6_sbf
4715,The disabled should be isolated.,"The conditions for people with disabilities, i.e. being forbidden to have contact with others is facilitated by the social stigma. The existence of a ""social stigma"" against the ""disabled"" is evidence of the problem of inequality.",DISABLED,V6_mix
3518,Children with learning difficulties should be excluded from education because they do not belong in school.,"It is not true that children with learning difficulties do not belong in school: instead, they often attend schools with considerable support. In fact, if you talk to teachers and academics, many of them would tell you that these children thrive in school.",DISABLED,V6_kc
